timestamp,batch,run,provider,model,probe,seed,nonce,turns,request_tokens,request_cached,predict_request_end,next_request_end,probe_input,probe_cached,error
2026-09-18T23:01:08.408Z,2026-09-18T23:00:24.871Z,0,openai_responses_gpt-5.5,gpt-5.5,truncate_after_a4,88036077,65f641945e93,6,1400;2081;2762;3449;4130;4818,0;0;1536;2560;2560;3584,2560,3584,3979,3584,
2026-09-18T23:01:13.193Z,2026-09-18T23:00:24.871Z,0,openai_responses_gpt-5.5,gpt-5.5,branch_at_u4,648248766,cda06d12d6b2,6,1412;2098;2781;3465;4149;4831,0;0;1536;2560;2560;3584,2560,2560,3464,1536,
2026-09-18T23:01:19.440Z,2026-09-18T23:00:24.871Z,1,openai_responses_gpt-5.5,gpt-5.5,branch_at_u4,727297616,430a4b55d005,6,0;2094;2777;3456;4138;4823,0;0;1536;2560;2560;0,2560,2560,3458,1536,
2026-09-18T23:01:20.019Z,2026-09-18T23:00:24.871Z,1,openai_responses_gpt-5.5,gpt-5.5,edit_u4,1124551077,342ba558153c,6,1399;2081;2760;3446;4128;4811,0;0;1536;0;2560;3584,0,2560,4812,1536,
2026-09-18T23:01:34.116Z,2026-09-18T23:00:24.871Z,0,openai_responses_gpt-5.5,gpt-5.5,edit_u4,1815982597,22e4aae39ab5,6,1403;2089;2773;3458;4140;4821,0;0;1536;2560;0;2560,2560,0,4822,1536,
2026-09-18T23:02:04.952Z,2026-09-18T23:00:24.871Z,1,openai_responses_gpt-5.5,gpt-5.5,truncate_after_a4,223514763,52f598a6b871,6,1402;2082;2760;3446;4137;4823,0;0;1536;2560;2560;3584,2560,3584,3986,3584,
2026-09-18T23:02:10.924Z,2026-09-18T23:00:24.871Z,2,openai_responses_gpt-5.5,gpt-5.5,branch_at_u4,212677267,a4ec241573a3,6,1408;2090;2771;3450;4133;4812,0;0;1536;2560;2560;3584,2560,2560,3449,1536,
2026-09-18T23:02:11.527Z,2026-09-18T23:00:24.871Z,0,openai_responses_gpt-5.5,gpt-5.5,edit_u4_after_60s,1947430859,f4bc4451dfbd,6,1405;2088;2770;3454;4141;4819,0;0;1536;2560;2560;0,2560,2560,4820,1536,
2026-09-18T23:02:15.332Z,2026-09-18T23:00:24.871Z,2,openai_responses_gpt-5.5,gpt-5.5,edit_u4,2045435363,1aaba0ad37df,6,1403;2093;2779;3461;4148;4831,0;0;1536;2560;2560;3584,2560,2560,4832,0,
2026-09-18T23:02:22.099Z,2026-09-18T23:00:24.871Z,2,openai_responses_gpt-5.5,gpt-5.5,truncate_after_a4,340014277,fa876367981f,6,1398;2077;2760;3439;4122;4811,0;0;1536;0;2560;3584,2560,3584,3972,3584,
2026-09-18T23:03:00.746Z,2026-09-18T23:00:24.871Z,3,openai_responses_gpt-5.5,gpt-5.5,edit_u4,946116534,00cf0dfefcbe,6,1406;2088;2769;3451;4137;4822,0;0;1536;2560;0;3584,2560,0,4823,2560,
