timestamp,batch,run,provider,model,variant,group,seed,nonce,section_words,first_cached,warm_attempts,warmed,base_input,base_cached,status,error,input,cached,cache_write,output,reasoning
2026-09-18T21:45:27.994Z,2026-09-18T21:45:15.912Z,0,anthropic_auto,claude-opus-5,thinking_signature_edit,loop,492308432,70fe2b73c91b,1500,11845,2,true,12440,12438,400,messages.5.content.0: Invalid `signature` in `thinking` block,,,,,
2026-09-18T21:45:29.002Z,2026-09-18T21:45:15.912Z,0,anthropic_auto,claude-opus-5,control,control,1677993097,ac9c4c71be08,1500,11808,2,true,12365,12363,200,,12365,12363,0,4,
2026-09-18T21:45:29.129Z,2026-09-18T21:45:15.912Z,0,anthropic_auto,claude-opus-5,tool_result_edit,loop,394895930,f15dbed94926,1500,11829,2,true,12404,12402,200,,12407,11829,576,4,
2026-09-18T21:45:30.898Z,2026-09-18T21:45:15.912Z,0,anthropic_auto,claude-opus-5,then_user_turn_drop_thinking,loop,1440284827,d64a25add553,1500,12108,2,true,12772,12770,200,,12666,12108,556,4,
2026-09-18T21:45:31.306Z,2026-09-18T21:45:15.912Z,0,anthropic_auto,claude-opus-5,then_user_turn,loop,1447490951,802951400dc5,1500,11808,2,true,12450,12448,200,,12521,12448,71,4,
2026-09-18T21:45:31.826Z,2026-09-18T21:45:15.912Z,0,anthropic_auto,claude-opus-5,drop_thinking,loop,1758437844,8d0e08f62379,1500,12054,2,true,12735,12733,200,,12514,12054,458,4,
2026-09-18T21:45:41.549Z,2026-09-18T21:45:15.912Z,0,anthropic_auto,claude-opus-5,effort_medium,reasoning,2033688715,53c368c2dffc,1500,12209,2,true,12821,12819,200,,12821,0,12819,4,
2026-09-18T22:18:28.646Z,2026-09-18T22:18:17.758Z,0,anthropic_auto,claude-opus-5,thinking_signature_edit,loop,1669044155,9d1566fe141f,1500,11935,2,true,12551,12549,400,messages.5.content.0: Invalid `signature` in `thinking` block,,,,,
2026-09-18T22:18:31.009Z,2026-09-18T22:18:17.758Z,0,anthropic_auto,claude-opus-5,drop_thinking,loop,925660943,a1f621801111,1500,12073,2,true,12647,12645,200,,12533,12073,458,4,
2026-09-18T22:18:31.464Z,2026-09-18T22:18:17.758Z,0,anthropic_auto,claude-opus-5,tool_result_edit,loop,979834691,a49630fcac9e,1500,11897,2,true,12519,12517,200,,12522,11897,623,4,
2026-09-18T22:18:31.819Z,2026-09-18T22:18:17.758Z,0,anthropic_auto,claude-opus-5,then_user_turn,loop,1610332657,72e043708d0e,1500,11780,2,true,12394,12392,200,,12488,12392,94,4,
2026-09-18T22:18:32.249Z,2026-09-18T22:18:17.758Z,0,anthropic_auto,claude-opus-5,then_user_turn_drop_thinking,loop,1385085426,6978def81e8e,1500,11884,2,true,12471,12469,200,,12438,11884,552,4,
2026-09-18T22:18:35.554Z,2026-09-18T22:18:17.758Z,0,anthropic_auto,claude-opus-5,control,control,2117890510,33af5d49e997,1500,11987,2,true,12690,12688,200,,12690,12688,0,4,
2026-09-18T22:18:40.744Z,2026-09-18T22:18:17.758Z,0,anthropic_auto,claude-opus-5,effort_medium,reasoning,1178403693,7a642460e5ee,1500,12001,2,true,12624,12622,200,,12624,0,12622,4,
2026-09-18T22:18:43.409Z,2026-09-18T22:18:17.758Z,1,anthropic_auto,claude-opus-5,control,control,434306079,c8d523baf406,1500,11880,2,true,12525,12523,200,,12525,12523,0,4,
2026-09-18T22:18:44.913Z,2026-09-18T22:18:17.758Z,1,anthropic_auto,claude-opus-5,thinking_signature_edit,loop,1932527055,18bcaefd0ef2,1500,12038,2,true,12713,12711,400,messages.5.content.0: Invalid `signature` in `thinking` block,,,,,
2026-09-18T22:18:45.005Z,2026-09-18T22:18:17.758Z,1,anthropic_auto,claude-opus-5,tool_result_edit,loop,2083422273,58406d6cb2f9,1500,12053,2,true,12662,12660,200,,12665,12053,610,4,
2026-09-18T22:18:46.825Z,2026-09-18T22:18:17.758Z,1,anthropic_auto,claude-opus-5,drop_thinking,loop,1170193413,e09eed2ae0fb,1500,12061,2,true,12704,12702,200,,12521,12061,458,4,
2026-09-18T22:18:51.238Z,2026-09-18T22:18:17.758Z,1,anthropic_auto,claude-opus-5,then_user_turn,loop,1915480326,e403471853c8,1500,11998,2,true,12580,12578,200,,12668,12578,88,4,
2026-09-18T22:18:54.852Z,2026-09-18T22:18:17.758Z,1,anthropic_auto,claude-opus-5,then_user_turn_drop_thinking,loop,947426447,85a0f386e0c6,1500,11859,2,true,12498,12496,200,,12407,11859,546,4,
2026-09-18T22:18:57.151Z,2026-09-18T22:18:17.758Z,1,anthropic_auto,claude-opus-5,effort_medium,reasoning,493144225,25ae9c5ab90a,1500,11987,2,true,12633,12631,200,,12633,0,12631,4,
2026-09-18T22:18:58.124Z,2026-09-18T22:18:17.758Z,2,anthropic_auto,claude-opus-5,thinking_signature_edit,loop,17476872,f00bf87b8ac8,1500,11827,2,true,12378,12376,400,messages.5.content.0: Invalid `signature` in `thinking` block,,,,,
2026-09-18T22:18:59.112Z,2026-09-18T22:18:17.758Z,2,anthropic_auto,claude-opus-5,drop_thinking,loop,225819022,f9d0579292b1,1500,11907,2,true,12557,12555,200,,12367,11907,458,4,
2026-09-18T22:19:01.141Z,2026-09-18T22:18:17.758Z,2,anthropic_auto,claude-opus-5,control,control,1141317218,2ca81eee5920,1500,11927,2,true,12736,12734,200,,12736,12734,0,4,
2026-09-18T22:19:03.479Z,2026-09-18T22:18:17.758Z,2,anthropic_auto,claude-opus-5,tool_result_edit,loop,1026692824,3041071e5ee8,1500,11826,2,true,12424,12422,200,,12427,11826,599,4,
2026-09-18T22:19:07.872Z,2026-09-18T22:18:17.758Z,2,anthropic_auto,claude-opus-5,then_user_turn,loop,33202775,d4449f3beb9b,1500,11932,2,true,12546,12544,200,,12627,12544,81,4,
2026-09-18T22:19:09.587Z,2026-09-18T22:18:17.758Z,2,anthropic_auto,claude-opus-5,then_user_turn_drop_thinking,loop,1727569436,e2cc2ccb3315,1500,11952,2,true,12520,12518,200,,12490,11952,536,4,
2026-09-18T22:19:12.000Z,2026-09-18T22:18:17.758Z,2,anthropic_auto,claude-opus-5,effort_medium,reasoning,1217217163,69fc16838d9e,1500,11881,2,true,12479,12477,200,,12479,0,12477,4,
2026-09-18T22:19:12.484Z,2026-09-18T22:18:17.758Z,3,anthropic_auto,claude-opus-5,drop_thinking,loop,141035256,5d7296876b27,1500,11817,2,true,12371,12369,200,,12276,11817,457,4,
2026-09-18T22:19:14.543Z,2026-09-18T22:18:17.758Z,3,anthropic_auto,claude-opus-5,control,control,111205999,f5317443899f,1500,11919,2,true,12614,12612,200,,12614,12612,0,4,
